detections,calls,ci
0.05,309,0.0955185845791278
0.1,401,0.13148079707698765
0.15,475,0.15649345034217882
0.2,482,0.17530772943598352
0.25,484,0.1897761839641634
0.35,494,0.2090411442754751
0.4,535,0.21470724254202514
0.45,555,0.21803623552061252
0.55,570,0.2583559559986957
0.6,619,0.2555527342839439
0.65,620,0.28655575373738357
0.7,621,0.28062929284021654
0.75,622,0.27282045377867103
0.8,626,0.2629615941539753
0.85,649,0.2508110842845666
0.9,729,0.23601525374432894
0.95,734,0.25835595599869576
1.0,739,0.2771858582251266
1.05,781,0.3242896853123761
1.1,785,0.3067885265129711
1.15,792,0.2865557537373835
1.2,806,0.32797073040135744
1.25,851,0.33592707541965117
1.3,855,0.34229928425283035
1.35,940,0.34717459584479965
1.4,950,0.350615458871967
1.45,956,0.35266386262275307
1.5,961,0.35334402499547096
1.55,964,0.35266386262275307
1.6,982,0.3220608638130376
1.65,987,0.3183114826706696
1.7,988,0.3692922961557687
1.75,1007,0.41288133888564155
1.8,1035,0.42941448508405017
1.85,1042,0.4220831671602174
1.9,1060,0.43607247104122504
1.95,1081,0.42660965764970676
2.0,1102,0.4157787873376899
2.05,1131,0.42660965764970676
2.1,1145,0.436072471041225
2.15,1155,0.39868057389343664
2.2,1175,0.4512258857822764
2.25,1220,0.4570415736013519
2.3,1228,0.5016221685691333
2.35,1230,0.5236355602897879
2.4,1260,0.5073334209373556
2.45,1264,0.5087512162147624
2.5,1276,0.5277461510991814
2.55,1285,0.5087512162147624
2.6,1296,0.5073334209373556
2.65,1305,0.5049615826971393
2.8,1323,0.5646705234028069
2.85,1328,0.5591155515633598
2.9,1345,0.5697501206669464
2.95,1404,0.5625404874317937
3.0,1419,0.6198064213930023
3.05,1433,0.6570386594409799
3.1,1439,0.6485793706247523
3.15,1445,0.6541087065618375
3.2,1471,0.6732821102628526
3.25,1472,0.6482090712108246
3.3,1473,0.6515341894329107
3.35,1491,0.6686300920538949
3.4,1511,0.670423149958293
3.45,1516,0.642255245210189
3.5,1520,0.6275061752684191
3.55,1530,0.6271234328264254
3.6,1546,0.5944974348136416
3.65,1562,0.6541087065618374
3.7,1574,0.6661117023442841
3.75,1601,0.6482090712108246
3.8,1640,0.6732821102628526
3.85,1650,0.682842734456478
3.9,1651,0.6775479318837894
3.95,1659,0.6856499106687028
4.0,1662,0.7201499843782544
4.05,1694,0.6995168332499225
4.1,1720,0.7578385052239033
4.2,1743,0.7666582028518314
4.25,1746,0.7824672517108944
4.35,1772,0.7625760289964534
4.4,1786,0.7766152200414307
4.45,1816,0.7650907135758477
4.5,1820,0.7901012593332577
4.55,1830,0.8018652006416039
4.6,1834,0.7888847824619258
4.65,1837,0.7625760289964536
