original_index,y_orig,y_target,n_particles,n_nodes,distance             ,n_detections,calls,detections_per_node                       ,distribution_scheme,source_step,spherical_step,dataset,source_step_multiplier_up,source_step_multiplier_down,detections_all
6396          ,4     ,8       ,5          ,10     ,1.4271651217563017   ,128         ,25000,"[13, 13, 13, 12, 12, 13, 13, 13, 13, 13]",round_robin        ,0.2        ,0.05          ,cifar  ,1.05                     ,0.99
8666          ,0     ,9       ,5          ,10     ,2.194105554069028    ,96          ,25003,"[8, 10, 9, 10, 10, 10, 10, 10, 10, 9]"   ,round_robin        ,0.2        ,0.05          ,cifar  ,1.05                     ,0.99
2047          ,5     ,2       ,5          ,10     ,9.347728926001192    ,80          ,25042,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]"          ,round_robin        ,0.2        ,0.05          ,cifar  ,1.05                     ,0.99
1899          ,7     ,6       ,5          ,10     ,2.4517776008662175   ,53          ,25040,"[6, 6, 6, 6, 4, 5, 5, 5, 5, 5]"          ,round_robin        ,0.2        ,0.05          ,cifar  ,1.05                     ,0.99
1267          ,4     ,8       ,5          ,10     ,1.0783161298025354   ,162         ,25015,"[17, 16, 17, 16, 16, 16, 16, 16, 16, 16]",round_robin        ,0.2        ,0.05          ,cifar  ,1.05                     ,0.99
3556          ,6     ,2       ,5          ,10     ,7.388721908857485    ,80          ,25001,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]"          ,round_robin        ,0.2        ,0.05          ,cifar  ,1.05                     ,0.99
8838          ,8     ,4       ,5          ,10     ,0.9290564806017981   ,320         ,25044,"[32, 32, 32, 32, 32, 32, 32, 32, 32, 32]",round_robin        ,0.2        ,0.05          ,cifar  ,1.05                     ,0.99
5393          ,4     ,3       ,5          ,10     ,8.561012506044848e-07,0           ,25000,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"          ,round_robin        ,0.2        ,0.05          ,cifar  ,1.05                     ,0.99
8792          ,6     ,1       ,5          ,10     ,13.912283206018751   ,80          ,25000,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]"          ,round_robin        ,0.2        ,0.05          ,cifar  ,1.05                     ,0.99
7513          ,0     ,4       ,5          ,10     ,1.917443006939959    ,118         ,25021,"[12, 12, 12, 12, 11, 11, 12, 12, 12, 12]",round_robin        ,0.2        ,0.05          ,cifar  ,1.05                     ,0.99
7041          ,4     ,3       ,5          ,10     ,0.5966468485081213   ,330         ,25030,"[33, 33, 33, 33, 33, 33, 33, 33, 33, 33]",round_robin        ,0.2        ,0.05          ,cifar  ,1.05                     ,0.99
