original_index,y_orig,y_target,n_particles,n_nodes,distance ,n_detections,calls,detections_per_node                       ,distribution_scheme                        ,source_step,spherical_step,dataset,source_step_multiplier_up,source_step_multiplier_down,detections_all                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,threshold
8666          ,1     ,9       ,5          ,10     ,2.6527565,123         ,25014,"[11, 12, 13, 10, 15, 13, 10, 15, 13, 11]",insert_resetting_embedded_distance_based_20,0.25       ,0.05          ,mnist  ,1.05                     ,0.99                       ,"[[1111, 152, 85, 83, 77, 74, 57, 74, 58, 55, 62], [804, 226, 162, 80, 97, 78, 65, 82, 68, 63, 59, 54], [76, 792, 341, 100, 73, 72, 82, 69, 60, 90, 59, 56, 58], [1154, 158, 70, 102, 85, 62, 71, 84, 56, 70], [166, 151, 868, 144, 175, 74, 88, 79, 71, 92, 64, 99, 55, 55, 62], [107, 70, 745, 334, 108, 70, 72, 83, 68, 87, 57, 58, 63], [783, 369, 87, 101, 96, 64, 61, 90, 58, 61], [140, 114, 898, 213, 82, 108, 92, 64, 64, 108, 60, 54, 61, 54, 63], [172, 72, 943, 214, 97, 92, 74, 87, 73, 86, 66, 62, 57], [124, 104, 1166, 72, 76, 89, 80, 73, 73, 56, 64]]"                                                                                                                                                                                                                                                  ,0.25
2047          ,6     ,2       ,5          ,10     ,2.7943633,40          ,25006,"[4, 4, 3, 5, 4, 5, 5, 4, 3, 3]"          ,insert_resetting_embedded_distance_based_20,0.25       ,0.05          ,mnist  ,1.05                     ,0.99                       ,"[[1652, 88, 56, 63], [398, 70, 55, 54], [1434, 276, 68], [1530, 107, 61, 62, 55], [1380, 203, 53, 57], [112, 1526, 75, 64, 62], [1380, 180, 62, 62, 57], [1631, 121, 60, 61], [167, 60, 65], [226, 70, 53]]"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,0.25
1899          ,8     ,6       ,5          ,10     ,3.5906248,64          ,25028,"[6, 6, 6, 6, 6, 5, 8, 5, 8, 8]"          ,insert_resetting_embedded_distance_based_20,0.25       ,0.05          ,mnist  ,1.05                     ,0.99                       ,"[[130, 108, 122, 93, 81, 96], [1484, 128, 97, 103, 94, 75], [115, 104, 82, 85, 73, 85], [105, 116, 79, 83, 81, 74], [156, 116, 172, 78, 103, 74], [153, 74, 129, 94, 74], [681, 115, 110, 92, 106, 71, 102, 90], [126, 121, 103, 94, 82], [162, 136, 90, 98, 76, 83, 87, 74], [125, 110, 105, 88, 72, 80, 80, 77]]"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,0.25
1267          ,8     ,2       ,5          ,10     ,3.055154 ,48          ,25002,"[5, 3, 5, 4, 4, 6, 5, 6, 4, 6]"          ,insert_resetting_embedded_distance_based_20,0.25       ,0.05          ,mnist  ,1.05                     ,0.99                       ,"[[159, 123, 118, 89, 92], [111, 85, 77], [242, 104, 81, 95, 97], [288, 90, 92, 97], [93, 96, 96, 95], [267, 116, 88, 82, 89, 91], [90, 106, 81, 83, 73], [77, 96, 85, 96, 82, 82], [104, 95, 98, 57], [416, 118, 89, 87, 88, 55]]"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,0.25
3556          ,5     ,2       ,5          ,10     ,2.5554361,146         ,25024,"[16, 17, 14, 13, 17, 12, 13, 13, 17, 14]",insert_resetting_embedded_distance_based_20,0.25       ,0.05          ,mnist  ,1.05                     ,0.99                       ,"[[101, 99, 109, 986, 62, 94, 116, 75, 86, 58, 53, 78, 57, 110, 57, 62], [95, 105, 115, 95, 774, 172, 98, 109, 97, 73, 80, 63, 56, 84, 57, 95, 62], [113, 99, 1102, 70, 99, 80, 61, 92, 55, 72, 57, 65, 97, 71], [138, 914, 140, 146, 57, 74, 61, 68, 55, 76, 59, 55, 87], [97, 98, 121, 855, 157, 117, 73, 70, 74, 55, 61, 89, 57, 58, 65, 73, 53], [110, 85, 250, 735, 60, 112, 80, 71, 65, 74, 93, 149], [116, 433, 643, 93, 101, 55, 78, 103, 78, 70, 57, 54, 74], [93, 104, 852, 175, 82, 107, 77, 75, 67, 85, 61, 72, 66], [84, 89, 104, 819, 92, 126, 90, 76, 73, 65, 55, 54, 72, 58, 62, 56, 80], [133, 115, 82, 90, 928, 107, 105, 79, 61, 73, 58, 129, 66, 54]]"                                                                                                                                                ,0.25
8838          ,2     ,4       ,5          ,10     ,2.0979102,49          ,25069,"[4, 4, 6, 4, 5, 4, 4, 6, 6, 6]"          ,insert_resetting_embedded_distance_based_20,0.25       ,0.05          ,mnist  ,1.05                     ,0.99                       ,"[[1209, 198, 162, 221], [895, 156, 164, 136], [145, 1129, 97, 103, 134, 156], [1253, 125, 156, 151], [1289, 126, 177, 160, 142], [963, 221, 142, 117], [1193, 184, 89, 240], [923, 364, 111, 125, 165, 149], [1105, 163, 105, 125, 166, 115], [176, 1212, 109, 119, 103, 165]]"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,0.25
5393          ,4     ,3       ,5          ,10     ,4.1879363,8           ,25046,"[1, 1, 0, 1, 1, 1, 1, 0, 1, 1]"          ,insert_resetting_embedded_distance_based_20,0.25       ,0.05          ,mnist  ,1.05                     ,0.99                       ,"[[336], [263], [], [188], [368], [364], [393], [], [390], [338]]"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,0.25
8792          ,6     ,1       ,5          ,10     ,3.0020077,25          ,25040,"[3, 2, 2, 2, 2, 3, 2, 3, 3, 3]"          ,insert_resetting_embedded_distance_based_20,0.25       ,0.05          ,mnist  ,1.05                     ,0.99                       ,"[[1144, 290, 228], [210, 242], [214, 243], [318, 222], [204, 345], [1059, 263, 350], [317, 249], [237, 154, 226], [1097, 240, 287], [1162, 236, 361]]"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,0.25
7513          ,7     ,4       ,5          ,10     ,1.7285849,96          ,25019,"[8, 9, 9, 12, 11, 10, 10, 9, 9, 9]"      ,insert_resetting_embedded_distance_based_20,0.25       ,0.05          ,mnist  ,1.05                     ,0.99                       ,"[[518, 420, 163, 57, 96, 62, 68, 68], [400, 390, 111, 78, 60, 72, 82, 72, 98], [256, 465, 137, 68, 77, 80, 63, 56, 117], [634, 382, 165, 76, 70, 61, 67, 58, 64, 61, 75, 108], [436, 423, 169, 60, 78, 90, 57, 55, 53, 91, 71], [772, 385, 150, 58, 74, 64, 57, 62, 64, 79], [402, 432, 132, 72, 74, 93, 61, 54, 70, 73], [458, 140, 65, 86, 64, 62, 61, 69, 76], [877, 151, 71, 83, 80, 57, 83, 61, 89], [702, 427, 117, 71, 78, 85, 54, 68, 83]]"                                                                                                                                                                                                                                                                                                                                                                      ,0.25
7041          ,7     ,3       ,5          ,10     ,1.9593308,150         ,25028,"[14, 17, 16, 14, 12, 13, 19, 15, 15, 15]",insert_resetting_embedded_distance_based_20,0.25       ,0.05          ,mnist  ,1.05                     ,0.99                       ,"[[111, 131, 656, 91, 232, 182, 106, 60, 68, 57, 119, 61, 84, 92], [135, 108, 222, 438, 104, 71, 137, 145, 102, 57, 66, 60, 76, 80, 86, 85, 76], [105, 113, 580, 146, 101, 179, 73, 164, 85, 58, 82, 61, 59, 84, 90, 111], [127, 559, 139, 131, 108, 141, 79, 156, 102, 66, 70, 74, 114, 105], [115, 120, 594, 112, 252, 160, 101, 67, 69, 64, 93, 117], [650, 131, 84, 130, 96, 126, 100, 75, 69, 94, 88, 66, 102], [170, 148, 100, 111, 118, 554, 150, 121, 201, 136, 53, 110, 58, 62, 63, 68, 111, 79, 103], [129, 117, 565, 151, 125, 213, 135, 82, 76, 84, 76, 60, 82, 70, 119], [512, 143, 121, 54, 73, 151, 140, 53, 98, 58, 73, 82, 73, 75, 121], [115, 622, 183, 114, 70, 165, 198, 88, 74, 67, 69, 74, 60, 94, 122]]"                                                                                           ,0.25
