original_index,y_orig,y_target,n_particles,n_nodes,distance           ,n_detections,calls,detections_per_node                       ,distribution_scheme ,source_step,spherical_step,dataset,source_step_multiplier_up,source_step_multiplier_down,detections_all
8322          ,4     ,5       ,5          ,5      ,0.4691573019775455 ,310         ,25004,"[61, 64, 61, 65, 59]"                    ,modified_round_robin,0.2        ,0.05          ,cifar  ,1.05                     ,0.99                       ,"[[100, 105, 54, 57, 57, 57, 52, 64, 96, 91, 57, 66, 53, 69, 72, 65, 82, 74, 73, 65, 83, 74, 58, 70, 66, 74, 60, 58, 54, 57, 54, 52, 54, 53, 55, 53, 54, 54, 53, 52, 51, 52, 53, 51, 52, 52, 52, 51, 51, 51, 52, 52, 54, 68, 59, 142, 185, 185, 180, 200, 240], [116, 72, 53, 52, 56, 57, 56, 56, 64, 91, 134, 51, 56, 73, 70, 54, 61, 68, 76, 74, 81, 71, 64, 79, 65, 57, 62, 57, 57, 61, 59, 58, 55, 55, 53, 54, 54, 53, 54, 53, 52, 53, 52, 53, 53, 52, 51, 51, 53, 53, 54, 53, 52, 54, 54, 59, 59, 55, 68, 185, 185, 185, 180, 230], [200, 85, 56, 53, 58, 57, 63, 103, 71, 116, 51, 71, 54, 53, 61, 66, 75, 81, 85, 74, 64, 79, 63, 54, 58, 64, 67, 64, 59, 61, 54, 54, 54, 54, 52, 51, 53, 54, 54, 53, 53, 53, 51, 53, 51, 51, 51, 52, 52, 54, 54, 52, 59, 55, 55, 74, 185, 185, 185, 180, 225], [364, 60, 51, 51, 53, 51, 51, 57, 56, 66, 70, 97, 69, 76, 56, 56, 66, 54, 69, 73, 77, 70, 66, 74, 63, 81, 64, 56, 60, 57, 72, 67, 60, 60, 58, 54, 55, 53, 52, 52, 53, 53, 53, 52, 53, 53, 53, 52, 52, 51, 52, 53, 51, 51, 54, 55, 57, 55, 59, 84, 185, 185, 185, 185, 230], [155, 56, 55, 67, 74, 118, 88, 52, 71, 74, 58, 62, 68, 77, 70, 72, 71, 63, 83, 67, 55, 60, 66, 71, 70, 55, 66, 59, 55, 54, 52, 52, 57, 51, 53, 52, 53, 52, 53, 54, 51, 51, 52, 53, 51, 52, 51, 54, 51, 56, 52, 55, 62, 81, 185, 185, 185, 180, 230]]"
8322          ,4     ,5       ,5          ,10     ,0.4691573019775455 ,292         ,25004,"[31, 28, 31, 26, 30, 27, 31, 27, 36, 25]",modified_round_robin,0.2        ,0.05          ,cifar  ,1.05                     ,0.99                       ,"[[80, 58, 67, 64, 64, 73, 52, 54, 55, 86, 73, 74, 71, 67, 66, 68, 56, 54, 53, 56, 53, 54, 51, 52, 51, 51, 52, 60, 95, 185, 185], [126, 104, 64, 59, 82, 68, 74, 57, 60, 57, 60, 62, 53, 53, 53, 54, 51, 53, 51, 51, 52, 53, 52, 59, 55, 130, 185, 190], [84, 52, 54, 173, 55, 65, 56, 65, 68, 74, 82, 54, 71, 62, 56, 54, 53, 53, 56, 52, 53, 54, 51, 52, 52, 52, 55, 58, 174, 180, 215], [174, 52, 133, 61, 69, 75, 84, 65, 71, 57, 70, 59, 60, 54, 52, 53, 53, 53, 52, 53, 51, 51, 59, 66, 185, 185], [55, 66, 59, 131, 56, 60, 85, 85, 73, 81, 63, 80, 59, 59, 55, 53, 52, 53, 53, 52, 53, 52, 53, 51, 52, 57, 59, 162, 185, 210], [72, 90, 61, 77, 79, 82, 57, 63, 72, 57, 56, 53, 52, 53, 54, 53, 52, 52, 51, 51, 52, 52, 51, 63, 110, 185, 180], [61, 59, 57, 54, 61, 133, 61, 53, 74, 93, 76, 77, 62, 61, 60, 60, 55, 55, 53, 52, 52, 54, 51, 53, 53, 53, 57, 55, 94, 185, 185], [59, 89, 80, 51, 72, 77, 89, 79, 68, 58, 61, 61, 52, 53, 52, 54, 54, 53, 52, 51, 58, 52, 55, 52, 154, 185, 205], [58, 59, 54, 57, 54, 62, 66, 74, 54, 52, 53, 57, 73, 81, 71, 75, 69, 75, 61, 59, 54, 53, 53, 51, 52, 53, 55, 51, 53, 51, 52, 58, 52, 122, 185, 185], [65, 64, 79, 95, 81, 71, 54, 63, 59, 58, 56, 51, 54, 51, 54, 55, 52, 51, 52, 51, 54, 52, 65, 185, 180]]"
769           ,4     ,7       ,5          ,5      ,0.6642945130028766 ,267         ,25030,"[55, 55, 52, 54, 51]"                    ,modified_round_robin,0.2        ,0.05          ,cifar  ,1.05                     ,0.99                       ,"[[424, 142, 190, 97, 192, 267, 144, 91, 103, 113, 124, 96, 101, 93, 122, 92, 60, 85, 85, 58, 61, 56, 51, 61, 51, 56, 53, 53, 53, 55, 51, 51, 51, 51, 51, 51, 51, 51, 55, 51, 51, 51, 54, 51, 51, 51, 51, 54, 51, 51, 53, 51, 51, 51, 51], [238, 175, 217, 201, 114, 112, 112, 122, 110, 108, 96, 89, 100, 70, 67, 80, 80, 66, 59, 59, 59, 53, 51, 51, 55, 51, 51, 53, 51, 51, 51, 51, 51, 51, 51, 51, 51, 54, 51, 51, 51, 54, 51, 51, 53, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51], [203, 204, 209, 225, 144, 92, 135, 122, 98, 91, 90, 94, 90, 104, 77, 84, 61, 52, 60, 54, 54, 55, 54, 56, 51, 60, 51, 51, 51, 51, 51, 51, 51, 51, 53, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 53, 51], [313, 154, 226, 232, 146, 81, 82, 92, 135, 106, 97, 105, 85, 85, 91, 82, 63, 71, 77, 58, 57, 55, 57, 58, 54, 51, 59, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 53, 51, 53, 51, 51, 53], [443, 159, 163, 150, 191, 171, 78, 121, 108, 84, 101, 108, 94, 92, 92, 86, 86, 60, 62, 63, 56, 60, 53, 54, 51, 54, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 53, 56, 51, 51, 59, 51, 51, 51, 51, 51, 51, 51]]"
769           ,4     ,7       ,5          ,10     ,0.6642945130028766 ,248         ,25030,"[26, 27, 26, 24, 22, 26, 25, 22, 26, 24]",modified_round_robin,0.2        ,0.05          ,cifar  ,1.05                     ,0.99                       ,"[[222, 192, 87, 93, 163, 116, 101, 87, 61, 68, 51, 51, 53, 51, 51, 51, 51, 51, 53, 51, 59, 51, 51, 51, 51, 51], [175, 170, 167, 164, 86, 113, 88, 71, 61, 57, 51, 51, 51, 51, 51, 51, 51, 51, 55, 51, 53, 51, 51, 51, 51, 51, 51], [255, 156, 167, 102, 84, 95, 77, 60, 61, 52, 54, 51, 51, 51, 51, 51, 51, 51, 51, 51, 52, 51, 51, 51, 51, 53], [234, 176, 149, 110, 98, 120, 68, 71, 61, 54, 59, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 54, 51], [399, 129, 102, 133, 85, 66, 57, 58, 53, 53, 51, 51, 51, 51, 52, 51, 52, 51, 51, 54, 51, 51], [86, 268, 146, 91, 114, 74, 76, 56, 51, 51, 59, 51, 54, 51, 51, 51, 51, 51, 51, 51, 51, 51, 54, 51, 51, 51], [157, 150, 119, 89, 106, 64, 74, 63, 60, 51, 51, 51, 54, 54, 51, 51, 53, 51, 51, 51, 51, 51, 51, 51, 51], [175, 174, 93, 109, 73, 71, 55, 60, 53, 52, 53, 51, 51, 51, 53, 51, 51, 51, 51, 54, 56, 51], [174, 195, 133, 113, 94, 94, 69, 76, 61, 56, 54, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51], [169, 265, 154, 103, 99, 108, 93, 69, 59, 56, 51, 51, 51, 51, 51, 51, 51, 51, 51, 54, 51, 51, 51, 51]]"
6949          ,0     ,1       ,5          ,5      ,2.1289163029645977 ,72          ,25016,"[14, 14, 15, 15, 14]"                    ,modified_round_robin,0.2        ,0.05          ,cifar  ,1.05                     ,0.99                       ,"[[235, 225, 220, 225, 112, 115, 115, 115, 129, 200, 430, 433, 1745, 361], [235, 220, 220, 225, 112, 115, 115, 115, 139, 254, 573, 679, 1113, 316], [245, 230, 215, 220, 177, 115, 116, 119, 125, 144, 254, 519, 569, 1051, 347], [235, 225, 220, 225, 112, 115, 115, 115, 139, 254, 554, 690, 1315, 144, 174], [235, 220, 220, 225, 112, 115, 115, 115, 129, 180, 696, 392, 1739, 438]]"
6949          ,0     ,1       ,5          ,10     ,2.1289163029645977 ,58          ,25016,"[5, 6, 6, 6, 6, 5, 5, 7, 7, 5]"          ,modified_round_robin,0.2        ,0.05          ,cifar  ,1.05                     ,0.99                       ,"[[220, 202, 115, 139, 405], [220, 202, 115, 129, 451, 881], [225, 220, 117, 116, 153, 370], [220, 202, 115, 144, 460, 989], [220, 207, 116, 133, 536, 1127], [220, 207, 115, 144, 357], [220, 202, 116, 148, 426], [220, 202, 115, 139, 461, 924, 157], [220, 202, 115, 144, 401, 1007, 161], [220, 202, 115, 144, 501]]"
6420          ,7     ,0       ,5          ,5      ,0.5859812590090665 ,336         ,25001,"[71, 66, 68, 67, 64]"                    ,modified_round_robin,0.2        ,0.05          ,cifar  ,1.05                     ,0.99                       ,"[[160, 108, 96, 141, 78, 51, 69, 61, 51, 51, 52, 52, 58, 51, 51, 51, 51, 51, 54, 63, 79, 90, 51, 51, 58, 76, 71, 61, 92, 60, 67, 57, 58, 86, 71, 77, 70, 66, 67, 76, 85, 51, 77, 58, 56, 64, 51, 56, 60, 55, 56, 51, 51, 51, 51, 58, 69, 54, 51, 70, 51, 51, 51, 51, 51, 51, 52, 51, 51, 126, 310], [169, 128, 78, 75, 64, 75, 64, 66, 53, 51, 93, 59, 51, 51, 51, 51, 55, 55, 80, 85, 61, 70, 62, 81, 82, 73, 59, 65, 71, 86, 74, 76, 87, 72, 56, 65, 78, 59, 64, 62, 81, 90, 52, 53, 54, 70, 58, 51, 57, 64, 68, 58, 54, 51, 51, 51, 51, 51, 78, 51, 51, 51, 53, 51, 51, 199], [263, 217, 59, 52, 64, 86, 52, 58, 52, 70, 51, 51, 51, 56, 52, 53, 51, 60, 52, 61, 81, 75, 53, 58, 66, 74, 75, 95, 83, 57, 55, 75, 81, 77, 74, 63, 61, 76, 65, 56, 68, 64, 54, 68, 51, 53, 70, 51, 75, 51, 78, 68, 51, 51, 51, 61, 74, 70, 67, 58, 51, 61, 51, 51, 51, 51, 51, 304], [170, 51, 63, 109, 65, 57, 51, 59, 51, 96, 51, 81, 58, 51, 51, 51, 51, 51, 54, 89, 90, 51, 79, 61, 67, 103, 76, 53, 52, 70, 96, 82, 93, 56, 77, 54, 62, 63, 78, 69, 66, 61, 55, 53, 52, 53, 73, 54, 51, 55, 72, 56, 52, 51, 51, 51, 51, 69, 51, 51, 51, 52, 51, 51, 51, 52, 305], [263, 54, 51, 52, 52, 51, 51, 92, 54, 51, 51, 90, 51, 51, 51, 51, 51, 51, 76, 85, 84, 62, 74, 67, 94, 71, 60, 54, 52, 67, 86, 59, 68, 73, 73, 80, 74, 74, 63, 79, 57, 55, 51, 52, 58, 56, 73, 80, 59, 61, 65, 58, 54, 52, 51, 54, 51, 58, 51, 52, 51, 51, 127, 303]]"
6420          ,7     ,0       ,5          ,10     ,0.5859812590090665 ,317         ,25001,"[37, 29, 34, 32, 29, 31, 34, 31, 31, 29]",modified_round_robin,0.2        ,0.05          ,cifar  ,1.05                     ,0.99                       ,"[[86, 80, 113, 57, 71, 57, 51, 51, 51, 51, 58, 55, 107, 51, 74, 87, 59, 61, 90, 77, 74, 63, 52, 64, 64, 51, 60, 51, 53, 51, 62, 51, 51, 51, 53, 51, 216], [77, 83, 67, 63, 51, 51, 54, 93, 59, 96, 63, 63, 80, 68, 75, 80, 67, 71, 75, 57, 66, 60, 70, 51, 51, 51, 51, 52, 51], [307, 58, 76, 60, 51, 51, 51, 51, 58, 102, 51, 77, 75, 61, 83, 82, 77, 61, 77, 58, 66, 70, 51, 61, 51, 51, 63, 51, 51, 51, 53, 51, 51, 114], [68, 51, 110, 88, 52, 51, 61, 56, 92, 57, 96, 66, 104, 94, 79, 62, 66, 68, 55, 53, 66, 55, 55, 51, 51, 51, 55, 51, 51, 51, 51, 207], [58, 55, 85, 51, 97, 52, 96, 51, 78, 87, 63, 57, 65, 59, 90, 80, 75, 58, 55, 51, 59, 60, 75, 71, 59, 51, 51, 51, 51], [106, 51, 51, 51, 51, 51, 56, 90, 55, 76, 67, 61, 52, 87, 76, 65, 80, 57, 58, 63, 71, 52, 52, 51, 57, 51, 62, 51, 51, 51, 51], [52, 51, 62, 51, 51, 88, 51, 51, 58, 84, 51, 69, 75, 57, 74, 72, 89, 58, 75, 58, 82, 52, 51, 68, 51, 51, 57, 51, 51, 51, 53, 51, 51, 51], [52, 75, 54, 54, 65, 51, 54, 54, 52, 90, 52, 73, 86, 64, 95, 69, 73, 70, 56, 56, 51, 70, 55, 76, 67, 52, 51, 74, 51, 51, 57], [62, 99, 70, 51, 60, 51, 51, 53, 84, 59, 70, 100, 60, 52, 102, 72, 57, 68, 71, 67, 51, 64, 62, 60, 55, 51, 66, 51, 51, 51, 89], [67, 51, 59, 54, 51, 51, 51, 51, 51, 57, 111, 69, 77, 70, 113, 81, 74, 74, 76, 65, 70, 69, 64, 51, 58, 62, 51, 51, 120]]"
3385          ,8     ,5       ,5          ,5      ,2.604111987944814  ,217         ,25001,"[43, 42, 46, 44, 42]"                    ,modified_round_robin,0.2        ,0.05          ,cifar  ,1.05                     ,0.99                       ,"[[331, 168, 197, 780, 176, 86, 88, 117, 77, 102, 55, 59, 54, 57, 54, 56, 57, 52, 57, 51, 54, 52, 52, 53, 51, 53, 53, 55, 55, 53, 53, 55, 53, 60, 65, 165, 252, 76, 66, 66, 60, 171, 255], [250, 239, 136, 907, 116, 115, 120, 73, 109, 95, 55, 54, 55, 53, 55, 57, 58, 52, 53, 53, 52, 52, 53, 53, 53, 55, 53, 53, 53, 51, 57, 65, 55, 60, 88, 121, 260, 95, 66, 61, 143, 255], [238, 120, 94, 131, 195, 833, 145, 102, 116, 106, 127, 100, 56, 55, 57, 55, 54, 55, 57, 57, 54, 52, 52, 53, 51, 54, 53, 53, 51, 53, 55, 53, 53, 55, 53, 66, 65, 107, 313, 91, 69, 66, 60, 57, 164, 255], [281, 147, 124, 79, 274, 691, 133, 101, 129, 155, 96, 57, 54, 55, 55, 57, 54, 53, 52, 54, 51, 51, 52, 55, 51, 53, 53, 53, 51, 55, 59, 53, 51, 55, 53, 53, 65, 114, 105, 295, 74, 69, 60, 220], [347, 106, 87, 270, 136, 754, 223, 62, 172, 76, 88, 76, 55, 59, 55, 54, 57, 56, 54, 53, 52, 54, 52, 53, 53, 53, 51, 55, 53, 53, 53, 55, 53, 66, 60, 175, 310, 71, 69, 64, 124, 255]]"
3385          ,8     ,5       ,5          ,10     ,2.604111987944814  ,188         ,25001,"[19, 18, 21, 19, 21, 18, 18, 20, 18, 16]",modified_round_robin,0.2        ,0.05          ,cifar  ,1.05                     ,0.99                       ,"[[175, 567, 135, 111, 54, 57, 55, 53, 52, 54, 51, 53, 60, 51, 55, 65, 267, 68, 195], [600, 162, 123, 55, 57, 56, 54, 52, 53, 53, 61, 53, 51, 58, 60, 181, 139, 118], [122, 133, 635, 175, 56, 60, 57, 58, 51, 55, 53, 51, 51, 57, 53, 58, 78, 260, 62, 54, 164], [615, 150, 92, 60, 53, 57, 52, 52, 52, 53, 53, 51, 53, 53, 53, 59, 170, 160, 57], [91, 187, 589, 105, 114, 69, 59, 52, 54, 54, 53, 52, 53, 53, 53, 53, 53, 116, 217, 60, 188], [524, 85, 108, 57, 56, 55, 54, 54, 52, 51, 53, 55, 53, 53, 60, 243, 68, 115], [108, 603, 134, 129, 53, 51, 58, 52, 53, 52, 53, 53, 57, 60, 55, 244, 71, 160], [80, 487, 83, 122, 122, 56, 54, 56, 53, 52, 52, 53, 51, 55, 53, 53, 65, 153, 166, 142], [121, 654, 199, 54, 56, 53, 51, 51, 54, 51, 53, 55, 55, 53, 60, 183, 122, 128], [561, 108, 132, 57, 56, 53, 53, 52, 53, 53, 53, 53, 58, 67, 280, 126]]"
6396          ,4     ,8       ,5          ,5      ,1.5182204201343121 ,256         ,25016,"[51, 54, 49, 50, 52]"                    ,modified_round_robin,0.2        ,0.05          ,cifar  ,1.05                     ,0.99                       ,"[[152, 63, 173, 211, 77, 126, 113, 136, 104, 145, 77, 95, 94, 76, 106, 83, 87, 80, 61, 70, 90, 79, 64, 51, 56, 70, 79, 91, 89, 67, 51, 52, 51, 51, 51, 51, 60, 73, 72, 79, 70, 62, 57, 65, 60, 68, 63, 83, 63, 53, 56], [142, 155, 122, 121, 115, 122, 67, 95, 141, 228, 151, 116, 91, 74, 87, 75, 66, 51, 96, 85, 85, 70, 72, 56, 56, 51, 61, 67, 52, 51, 79, 65, 56, 52, 79, 60, 56, 51, 51, 51, 55, 72, 75, 70, 73, 68, 56, 69, 60, 65, 60, 69, 63, 60], [151, 100, 129, 151, 76, 154, 90, 74, 98, 113, 140, 89, 98, 134, 100, 91, 79, 67, 71, 76, 89, 64, 62, 52, 63, 70, 74, 60, 78, 95, 62, 73, 80, 51, 51, 51, 53, 72, 73, 72, 86, 69, 56, 85, 63, 69, 87, 66, 63], [112, 116, 85, 120, 154, 169, 95, 63, 99, 85, 108, 156, 89, 103, 149, 102, 108, 98, 58, 80, 88, 70, 88, 65, 68, 77, 62, 51, 71, 53, 73, 72, 93, 87, 51, 51, 51, 51, 51, 57, 75, 73, 67, 70, 66, 79, 79, 57, 74, 66], [192, 209, 125, 66, 108, 264, 112, 107, 89, 105, 148, 101, 79, 91, 139, 119, 94, 78, 73, 64, 86, 74, 80, 70, 69, 84, 56, 75, 58, 83, 83, 89, 68, 60, 63, 51, 51, 51, 52, 73, 72, 70, 90, 66, 57, 76, 63, 58, 66, 53, 85, 63]]"
6396          ,4     ,8       ,5          ,10     ,1.5182204201343121 ,225         ,25016,"[25, 25, 21, 22, 25, 19, 24, 21, 21, 22]",modified_round_robin,0.2        ,0.05          ,cifar  ,1.05                     ,0.99                       ,"[[265, 83, 132, 130, 67, 89, 102, 91, 61, 57, 52, 57, 72, 72, 89, 51, 51, 51, 53, 72, 91, 64, 57, 60, 72], [218, 88, 169, 160, 79, 88, 55, 68, 92, 65, 70, 63, 76, 60, 51, 73, 66, 52, 54, 72, 89, 69, 57, 63, 60], [208, 105, 91, 234, 120, 74, 57, 72, 94, 85, 54, 84, 85, 85, 51, 54, 72, 98, 72, 66, 67], [112, 83, 139, 170, 104, 230, 137, 79, 71, 100, 55, 66, 64, 89, 80, 72, 51, 58, 72, 84, 98, 68], [188, 96, 203, 75, 177, 77, 110, 132, 84, 92, 86, 75, 59, 52, 63, 83, 53, 51, 73, 95, 59, 60, 60, 57, 63], [189, 95, 76, 118, 80, 67, 98, 70, 78, 78, 66, 53, 53, 72, 104, 60, 63, 72, 72], [69, 77, 84, 90, 199, 171, 118, 79, 63, 99, 92, 51, 55, 66, 51, 84, 83, 51, 54, 72, 103, 53, 60, 66], [89, 124, 126, 176, 161, 115, 74, 100, 58, 58, 63, 72, 74, 85, 51, 52, 73, 111, 57, 64, 76], [165, 96, 120, 233, 127, 65, 62, 83, 67, 73, 86, 86, 51, 51, 51, 51, 57, 72, 79, 86, 54], [161, 93, 192, 137, 93, 64, 106, 64, 68, 60, 89, 79, 70, 58, 51, 51, 56, 72, 87, 68, 62, 78]]"
2558          ,4     ,9       ,5          ,5      ,0.7668312681602422 ,239         ,25029,"[46, 46, 50, 51, 46]"                    ,modified_round_robin,0.2        ,0.05          ,cifar  ,1.05                     ,0.99                       ,"[[226, 169, 254, 148, 163, 476, 527, 149, 116, 112, 107, 107, 101, 92, 76, 86, 74, 66, 73, 59, 54, 59, 51, 51, 51, 51, 51, 62, 53, 52, 53, 52, 52, 51, 52, 56, 51, 52, 55, 52, 64, 65, 87, 67, 67, 59], [329, 272, 522, 383, 192, 120, 65, 119, 99, 69, 84, 80, 66, 69, 53, 73, 67, 52, 51, 52, 54, 51, 52, 51, 58, 56, 54, 51, 56, 52, 52, 53, 52, 51, 53, 52, 52, 62, 52, 53, 51, 73, 93, 76, 59, 59], [211, 168, 229, 108, 109, 518, 500, 142, 143, 122, 96, 91, 88, 87, 94, 66, 73, 71, 52, 66, 53, 76, 66, 60, 61, 51, 58, 51, 53, 53, 54, 51, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 52, 59, 52, 86, 87, 67, 56], [198, 293, 150, 593, 391, 144, 125, 117, 76, 106, 99, 104, 77, 70, 68, 81, 53, 68, 73, 51, 64, 54, 70, 51, 60, 52, 52, 55, 51, 51, 53, 51, 58, 52, 52, 52, 52, 52, 51, 52, 51, 52, 51, 52, 52, 54, 65, 96, 78, 59, 56], [129, 499, 497, 138, 138, 107, 112, 95, 109, 66, 80, 70, 79, 60, 53, 73, 75, 68, 53, 52, 53, 60, 58, 51, 51, 53, 52, 53, 52, 54, 52, 52, 60, 51, 54, 55, 52, 51, 52, 55, 78, 82, 63, 55, 59, 55]]"
2558          ,4     ,9       ,5          ,10     ,0.7668312681602422 ,217         ,25029,"[18, 22, 24, 24, 20, 23, 19, 22, 23, 22]",modified_round_robin,0.2        ,0.05          ,cifar  ,1.05                     ,0.99                       ,"[[793, 146, 105, 76, 73, 71, 65, 61, 51, 64, 52, 53, 52, 51, 52, 53, 75, 67], [539, 133, 98, 90, 69, 67, 56, 68, 58, 51, 51, 54, 51, 53, 52, 52, 52, 55, 52, 103, 60, 55], [705, 195, 89, 76, 72, 65, 69, 66, 54, 51, 59, 52, 53, 51, 52, 52, 52, 52, 53, 51, 53, 66, 69, 62], [619, 176, 86, 104, 93, 76, 76, 57, 59, 54, 51, 53, 56, 51, 61, 52, 61, 52, 51, 52, 52, 68, 66, 59], [148, 97, 90, 61, 55, 83, 51, 59, 56, 51, 54, 51, 52, 52, 52, 52, 51, 58, 86, 59], [200, 406, 311, 116, 102, 97, 83, 66, 54, 60, 51, 58, 51, 51, 52, 52, 53, 51, 52, 52, 52, 91, 67], [88, 93, 97, 67, 71, 59, 51, 61, 51, 51, 51, 55, 52, 52, 53, 51, 57, 73, 87], [111, 189, 205, 373, 142, 93, 67, 73, 51, 72, 71, 57, 51, 52, 56, 51, 52, 53, 52, 52, 59, 81], [637, 162, 116, 99, 83, 59, 66, 52, 58, 55, 53, 58, 56, 51, 53, 51, 52, 52, 51, 52, 70, 95, 59], [280, 424, 113, 102, 81, 59, 62, 67, 68, 65, 51, 51, 51, 54, 52, 52, 51, 52, 63, 94, 74, 55]]"
2747          ,3     ,2       ,5          ,5      ,1.409652110832093  ,298         ,25046,"[58, 63, 55, 63, 59]"                    ,modified_round_robin,0.2        ,0.05          ,cifar  ,1.05                     ,0.99                       ,"[[230, 100, 139, 158, 190, 125, 57, 86, 82, 139, 131, 116, 111, 80, 97, 85, 105, 69, 59, 53, 54, 56, 59, 53, 52, 51, 52, 51, 54, 53, 51, 53, 53, 52, 51, 52, 53, 61, 51, 52, 53, 53, 51, 52, 52, 51, 52, 51, 55, 51, 54, 51, 55, 57, 53, 56, 55, 57], [243, 134, 174, 108, 123, 149, 142, 76, 250, 137, 114, 65, 56, 135, 102, 126, 113, 89, 71, 88, 97, 72, 98, 62, 56, 54, 52, 54, 55, 52, 53, 53, 53, 51, 55, 58, 53, 56, 51, 52, 51, 52, 51, 51, 52, 53, 52, 53, 51, 51, 51, 51, 51, 52, 52, 52, 52, 52, 56, 57, 53, 53, 59], [359, 354, 120, 136, 80, 101, 99, 83, 94, 63, 103, 63, 80, 93, 54, 54, 53, 55, 53, 54, 53, 55, 53, 51, 53, 53, 53, 52, 58, 52, 51, 52, 51, 53, 52, 53, 53, 53, 51, 51, 56, 51, 52, 51, 51, 54, 52, 52, 52, 51, 59, 55, 53, 53, 55], [392, 109, 111, 106, 94, 74, 161, 140, 236, 58, 95, 58, 73, 123, 104, 107, 93, 77, 77, 70, 97, 78, 76, 75, 56, 54, 53, 60, 59, 52, 54, 52, 52, 53, 53, 52, 52, 51, 59, 52, 53, 51, 53, 52, 52, 51, 53, 54, 51, 51, 52, 51, 51, 53, 51, 52, 54, 53, 53, 55, 55, 55, 55], [239, 109, 162, 175, 292, 181, 76, 154, 97, 132, 97, 113, 85, 79, 80, 102, 64, 54, 53, 56, 59, 53, 52, 52, 52, 52, 53, 53, 54, 53, 52, 53, 58, 52, 51, 51, 52, 56, 52, 52, 51, 51, 54, 51, 51, 52, 52, 59, 52, 52, 52, 52, 52, 53, 53, 59, 53, 55, 57]]"
2747          ,3     ,2       ,5          ,10     ,1.409652110832093  ,282         ,25046,"[28, 33, 26, 30, 25, 27, 28, 26, 28, 31]",modified_round_robin,0.2        ,0.05          ,cifar  ,1.05                     ,0.99                       ,"[[206, 81, 154, 117, 88, 112, 71, 54, 61, 52, 52, 53, 51, 52, 61, 63, 51, 53, 53, 51, 59, 51, 51, 53, 54, 53, 53, 55], [137, 119, 143, 135, 147, 57, 118, 99, 98, 101, 90, 54, 60, 53, 51, 61, 52, 53, 52, 51, 52, 54, 54, 51, 52, 58, 53, 52, 51, 57, 53, 54, 53], [101, 105, 91, 106, 76, 59, 53, 53, 53, 52, 55, 52, 52, 52, 53, 53, 52, 51, 51, 52, 61, 53, 52, 53, 55, 55], [118, 261, 76, 58, 59, 105, 105, 85, 80, 78, 68, 54, 54, 52, 53, 52, 54, 52, 52, 53, 53, 54, 51, 51, 52, 57, 53, 52, 53, 55], [369, 118, 115, 99, 81, 61, 57, 53, 52, 52, 53, 51, 52, 53, 52, 52, 54, 51, 51, 52, 53, 53, 51, 52, 62], [123, 84, 166, 96, 136, 111, 98, 94, 63, 53, 53, 57, 51, 52, 54, 52, 53, 51, 52, 53, 52, 51, 52, 52, 52, 54, 59], [169, 99, 153, 167, 102, 89, 128, 154, 78, 93, 83, 66, 53, 54, 52, 53, 52, 54, 56, 51, 67, 52, 53, 52, 51, 53, 54, 59], [232, 102, 85, 123, 90, 62, 69, 53, 67, 52, 53, 53, 52, 53, 52, 52, 51, 52, 53, 51, 63, 52, 52, 54, 55, 54], [128, 108, 91, 141, 170, 129, 122, 84, 116, 95, 56, 60, 58, 52, 56, 52, 52, 53, 51, 53, 51, 54, 54, 51, 51, 53, 53, 57], [154, 186, 164, 114, 100, 128, 101, 94, 59, 54, 54, 53, 53, 52, 58, 51, 51, 51, 65, 52, 51, 52, 51, 52, 51, 51, 52, 52, 55, 55, 53]]"
1899          ,7     ,6       ,5          ,5      ,2.1500051064900716 ,115         ,25025,"[25, 22, 23, 21, 24]"                    ,modified_round_robin,0.2        ,0.05          ,cifar  ,1.05                     ,0.99                       ,"[[202, 192, 638, 752, 167, 254, 137, 107, 150, 68, 102, 96, 124, 236, 76, 100, 80, 61, 98, 96, 99, 128, 119, 86, 56], [179, 161, 199, 591, 688, 170, 243, 122, 206, 125, 76, 75, 317, 149, 75, 79, 101, 116, 72, 152, 103, 60], [155, 165, 551, 758, 162, 252, 115, 95, 133, 105, 99, 62, 73, 93, 308, 146, 83, 84, 125, 107, 160, 66, 72], [191, 195, 591, 801, 266, 196, 141, 76, 109, 75, 257, 201, 111, 87, 119, 115, 103, 116, 87, 68, 100], [189, 123, 155, 571, 732, 277, 194, 173, 105, 98, 84, 145, 260, 91, 114, 72, 77, 114, 88, 113, 58, 95, 68, 62]]"
